lon,lat,name,operator,capacity,fee,city,street,housenumber
14.551084,53.4425056,,,,false,,,
21.0309054,52.2391223,RWE Polska - Warszawa. Wybrzeże Kościuszkowskie,RWE Polska,2,,Warszawa,Wybrzeże Kościuszkowskie,41
21.0307263,52.2392403,RWE Polska - Warszawa. Wybrzeże Kościuszkowskie,RWE Polska,2,,Warszawa,Wybrzeże Kościuszkowskie,41
21.044686,52.1904084,RWE - Warszawa. Pory,RWE,2,false,Warszawa,Pory,80
21.0828076,52.2659969,RWE Polska S.A. - Warszawa. Nieświeska,RWE Polska S.A.,2,false,Warszawa,Nieświeska,52
18.6259248,54.3733992,Energa,Energa,,,,,
19.4447756,51.7797512,e+,e+,,,,,
19.2770178,51.8116303,ABB - Aleksandrów Łódzki. Placydowska,ABB,1,false,Aleksandrów Łódzki,Placydowska,27
20.9840264,52.2577191,,,,false,,,
20.9878209,52.1854091,Schneider Electric Polska Sp. z o.o.,Schneider Electric Polska Sp. z o.o.,1,false,,,
16.584214,51.0373594,Tesla. Inc.,Tesla. Inc.,4,true,,,
17.0279459,51.1012171,,,,,,,
20.9822404,52.1909131,,,2,,,,
21.019281,52.1071248,,,1,,,,
22.5763545,51.2496351,,,,false,,,
16.9875663,52.3820693,,,2,false,,,
21.0056834,52.1794898,,,3,true,,,
21.0388792,52.1427093,RWE,RWE,2,false,,,
17.0905,51.1428922,Galactico,Galactico,2,,,,
20.4648671,52.1121291,,,1,false,,,
19.0465949,50.2545681,Tesla. Inc.,Tesla. Inc.,4,true,,Murckowska,22
15.6078374,52.0323998,,,,,,,
21.0167574,52.1513408,DBT,DBT,2,false,,,
18.5708143,54.4023253,Energa - Gdańsk. Aleja Grunwaldzka,Energa,2,false,Gdańsk,Aleja Grunwaldzka,472
18.539707,54.4967958,Energa,Energa,1,false,,,
18.6273699,54.3712208,Energa - Gdańsk. Aleja Zwycięstwa,Energa,2,false,Gdańsk,Aleja Zwycięstwa,13
19.8904467,50.0991166,Nissan - Kraków. Jasnogórska,Nissan,1,false,Kraków,Jasnogórska,60
